#1 
double table1(336, 8)
	# Time (s)	(1)Temperature exterieure  station meteo	(2)Temperature soufflage CTA Multifonctionnelle	(3)Temperature reprise CTA Multifonctionnelle	(4)Temperature soufflage CTA RDC R+1	(5)Temperature reprise CTA RDC R+1	(6)ahu_R1	(7)ahu_multi 
26917200.0	9.903703703703703	27.0567438219697	21.942222222222224	26.11777977777778	21.663890416666664	1800.0	600.0
26919000.0	9.800347222222223	27.028638079545455	21.98587568125	26.059065306249998	21.79887671875	1800.0	600.0
26920800.0	9.59047619047619	26.99586696536797	22.120572039285715	25.996251967857145	21.87135932142857	1800.0	600.0
26922600.0	9.134444444444446	26.682445055555558	22.351049276190476	25.714001533333334	21.960909863636363	1800.0	600.0
26924400.0	7.9975	27.425002175000003	22.457715442857143	26.387500900000003	22.033819227272726	1800.0	600.0
26926200.0	7.837946428571429	28.180626687500002	22.604821830357142	27.156668416666665	22.12500035416667	1800.0	600.0
26928000.0	7.7181872749099645	28.405103081632657	22.632755428571432	27.322383238095238	22.207243977011494	1800.0	600.0
26929800.0	7.566955017301037	28.32403475630252	22.63010604201681	27.205148470588234	22.19793348275862	1800.0	600.0
26931600.0	7.002083333333334	25.190001	22.38187554166667	24.186876583333333	22.11448445402299	1800.0	600.0
26933400.0	6.6484375	22.70562640625	21.8502519875	22.10250159375	21.76920507102273	1800.0	600.0
26935200.0	7.385000000000001	22.715001400000002	21.637424206666665	22.136667499999998	21.555757545454544	1800.0	600.0
26937000.0	7.744646464646465	17.600000933333334	21.184162715151515	17.3000012	21.023238561904762	1800.0	600.0
26938800.0	7.654545454545454	18.75428623809524	19.807663322510823	15.865873277777776	20.716736051020412	1800.0	85.71428571428571
26940600.0	7.4064616755793224	21.357647500000002	20.04044167647059	15.522745098039215	20.42353001764706	1800.0	0.0
26942400.0	6.633928571428571	21.395001464285716	19.873036535714284	16.50500032142857	19.01285737142857	128.57142857142858	0.0
26944200.0	6.676923076923077	21.084707	19.10840984602076	18.094959352941174	17.849730499999996	0.0	0.0
26946000.0	7.549157509157508	20.754762952380954	18.675168230092037	18.468845	17.658792928571426	0.0	0.0
26947800.0	7.725909090909091	20.27875046875	18.35062570089286	18.444375718750003	17.556500425	0.0	0.0
26949600.0	7.7727272727272725	19.938461358974358	18.01553189010989	18.302502182692308	17.490719182051283	0.0	0.0
26951400.0	7.65	19.61411831372549	17.826628841176472	18.078689711434578	17.4134799497549	0.0	0.0
26953200.0	7.6254098360655735	19.34288888888889	17.68520141	17.844898765306123	17.345957166053918	0.0	0.0
26955000.0	7.659836065573771	19.18422222222222	17.567601829999997	17.65632605102041	17.2850005	0.0	0.0
26956800.0	7.6795081967213115	19.05522311111111	17.507765290454547	17.55724548270975	17.24629028104575	0.0	0.0
26958600.0	7.710632451564829	18.899376333333333	17.44522762215909	17.45729226041667	17.189584083333333	0.0	0.0
